ts,alert_type,src_ip,dst_ip,details,model_name
2025-08-08 17:53:23,DoS,171.128.117.50,192.168.1.109,171.128.117.50 sent 1396 packets to 192.168.1.109 in 7 s,Decision Tree
2025-08-07 15:53:05,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 790 packets to 192.168.1.109 in 10 s,Decision Tree
2025-08-07 06:42:51,DDoS,116.17.206.208,192.168.1.109,"81 sources, 4053 packets → 192.168.1.109 in 13 s",Linear SVM
2025-08-08 00:24:19,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 824 packets to 192.168.1.109 in 13 s,Linear SVM
2025-08-07 13:10:50,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 567 SYN packets in 2 s",Random Forest
2025-08-07 02:40:10,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 80 ports in 4 s,Random Forest
2025-08-07 13:26:53,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 110 ports in 2 s,Decision Tree
2025-08-06 20:03:01,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 749 packets to 192.168.1.109 in 9 s,Random Forest
2025-08-08 16:45:56,DDoS,102.122.195.70,192.168.1.109,"69 sources, 4378 packets → 192.168.1.109 in 10 s",Decision Tree
2025-08-07 17:30:35,DDoS,199.41.115.196,192.168.1.109,"28 sources, 3196 packets → 192.168.1.109 in 13 s",Random Forest
2025-08-07 13:17:20,DDoS,121.40.229.158,192.168.1.109,"72 sources, 4478 packets → 192.168.1.109 in 6 s",Linear SVM
2025-08-08 16:57:30,DDoS,199.41.115.196,192.168.1.109,"99 sources, 2829 packets → 192.168.1.109 in 17 s",Decision Tree
2025-08-08 12:19:58,DDoS,173.104.27.33,192.168.1.109,"51 sources, 1046 packets → 192.168.1.109 in 10 s",Decision Tree
2025-08-08 13:07:27,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 71 ports in 8 s,Decision Tree
2025-08-07 05:58:52,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 579 packets to 192.168.1.109 in 12 s,Random Forest
2025-08-07 13:18:50,DDoS,121.40.229.158,192.168.1.109,"44 sources, 1654 packets → 192.168.1.109 in 8 s",Random Forest
2025-08-07 21:35:16,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 1768 packets to 192.168.1.109 in 10 s,Linear SVM
