ts,alert_type,src_ip,dst_ip,details
2025-08-05 08:48:25,SYN Flood,180.252.123.192,192.168.1.109,"SYN flood from 180.252.123.192, 1260 SYN packets in 7 s"
2025-08-05 07:34:59,SYN Flood,188.97.74.179,192.168.1.109,"SYN flood from 188.97.74.179, 611 SYN packets in 3 s"
2025-08-05 08:58:12,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 141 ports in 7 s
2025-08-04 15:18:12,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 1343 SYN packets in 2 s"
2025-08-04 18:55:43,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 1139 SYN packets in 7 s"
2025-08-05 02:23:54,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 138 ports in 8 s
2025-08-04 22:26:30,DDoS,135.97.14.21,192.168.1.109,"31 sources, 2264 packets → 192.168.1.109 in 17 s"
2025-08-04 19:50:04,DDoS,180.252.123.192,192.168.1.109,"83 sources, 4293 packets → 192.168.1.109 in 15 s"
2025-08-04 13:12:25,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 119 ports in 4 s
2025-08-05 00:57:50,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 130 ports in 8 s
2025-08-04 20:37:11,DDoS,180.252.123.192,192.168.1.109,"77 sources, 4690 packets → 192.168.1.109 in 17 s"
2025-08-04 12:31:50,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 122 ports in 1 s
2025-08-05 10:04:55,DDoS,192.221.120.3,192.168.1.109,"57 sources, 4729 packets → 192.168.1.109 in 13 s"
2025-08-05 05:51:49,DoS,16.59.0.134,192.168.1.109,16.59.0.134 sent 1528 packets to 192.168.1.109 in 9 s
2025-08-04 18:02:41,Port Scan,20.218.159.191,192.168.1.109,20.218.159.191 scanned 100 ports in 3 s
2025-08-04 14:51:49,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1109 packets to 192.168.1.109 in 12 s
2025-08-05 03:41:40,DDoS,192.221.120.3,192.168.1.109,"69 sources, 2443 packets → 192.168.1.109 in 19 s"
2025-08-04 23:23:16,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 119 ports in 4 s
2025-08-04 22:24:57,Port Scan,192.72.98.152,192.168.1.109,192.72.98.152 scanned 109 ports in 8 s
2025-08-04 23:29:49,Port Scan,169.96.103.60,192.168.1.109,169.96.103.60 scanned 55 ports in 7 s
