interval_start,interval_end,host_ip,total_packets,incoming_packets,outgoing_packets,unique_src_ips,unique_dst_ports,total_packets_size
2025-08-04 10:33:44.820094,2025-08-04 11:03:44.820094,172.26.59.245,373,255,118,12,14,3148
2025-08-04 10:33:44.820094,2025-08-04 11:03:44.820094,10.5.75.137,352,137,215,13,16,12316
2025-08-04 10:33:44.820094,2025-08-04 11:03:44.820094,172.26.238.112,142,54,88,16,10,1133
2025-08-04 10:33:44.820094,2025-08-04 11:03:44.820094,10.232.227.142,92,27,65,15,1,1371
2025-08-04 10:33:44.820094,2025-08-04 11:03:44.820094,172.27.110.34,470,350,120,7,17,2382
2025-08-04 11:03:44.820094,2025-08-04 11:33:44.820094,172.26.59.245,126,18,108,16,0,8064
2025-08-04 11:03:44.820094,2025-08-04 11:33:44.820094,10.5.75.137,222,73,149,11,16,8047
2025-08-04 11:03:44.820094,2025-08-04 11:33:44.820094,172.26.238.112,147,29,118,5,8,6238
2025-08-04 11:03:44.820094,2025-08-04 11:33:44.820094,10.232.227.142,387,325,62,11,19,3988
2025-08-04 11:03:44.820094,2025-08-04 11:33:44.820094,172.27.110.34,407,290,117,5,6,8151
2025-08-04 11:33:44.820094,2025-08-04 12:03:44.820094,172.26.59.245,167,125,42,13,6,12170
2025-08-04 11:33:44.820094,2025-08-04 12:03:44.820094,10.5.75.137,115,32,83,14,9,6387
2025-08-04 11:33:44.820094,2025-08-04 12:03:44.820094,172.26.238.112,94,48,46,20,3,1924
2025-08-04 11:33:44.820094,2025-08-04 12:03:44.820094,10.232.227.142,465,417,48,18,11,771
2025-08-04 11:33:44.820094,2025-08-04 12:03:44.820094,172.27.110.34,182,178,4,19,1,9877
2025-08-04 12:03:44.820094,2025-08-04 12:33:44.820094,172.26.59.245,205,33,172,20,13,2316
2025-08-04 12:03:44.820094,2025-08-04 12:33:44.820094,10.5.75.137,20,4,16,3,1,6674
2025-08-04 12:03:44.820094,2025-08-04 12:33:44.820094,172.26.238.112,407,12,395,7,2,7649
2025-08-04 12:03:44.820094,2025-08-04 12:33:44.820094,10.232.227.142,151,117,34,6,8,9080
2025-08-04 12:03:44.820094,2025-08-04 12:33:44.820094,172.27.110.34,438,270,168,13,8,9391
2025-08-04 12:33:44.820094,2025-08-04 13:03:44.820094,172.26.59.245,418,175,243,12,9,2969
2025-08-04 12:33:44.820094,2025-08-04 13:03:44.820094,10.5.75.137,185,103,82,19,1,6474
2025-08-04 12:33:44.820094,2025-08-04 13:03:44.820094,172.26.238.112,8,7,1,5,11,11014
2025-08-04 12:33:44.820094,2025-08-04 13:03:44.820094,10.232.227.142,298,273,25,18,4,13498
2025-08-04 12:33:44.820094,2025-08-04 13:03:44.820094,172.27.110.34,244,168,76,18,12,7933
2025-08-04 13:03:44.820094,2025-08-04 13:33:44.820094,172.26.59.245,198,150,48,17,2,5509
2025-08-04 13:03:44.820094,2025-08-04 13:33:44.820094,10.5.75.137,129,4,125,11,17,10473
