ts,src_ip,src_port,dst_ip,dst_port,protocol,pkt_len,tcp_flags,raw_data,full_url
2025-08-08 10:29:46,178.101.237.200,33010,147.159.181.46,8080,HTTPS,1123,0x0010,ED3497DBB09E9D67A9520937167610B0,https://conley.net/explore/tags
2025-08-08 17:20:14,178.101.237.200,56095,62.178.99.228,4825,RDP,1490,0x0002,437F00F1463894279B930E448601ADCE,
2025-08-08 16:46:32,147.159.181.46,24288,18.1.33.111,8080,UDP,585,0x0010,4D495698344FF299237EDECA26423EC0,
2025-08-08 05:52:28,115.216.142.177,36861,18.1.33.111,8080,HTTP,1118,0x0002,2C1CDB4110097A8185F93CF1FF771388,https://lewis.com/search/tag
2025-08-08 05:52:47,62.178.99.228,22700,213.195.49.73,8080,TLS,1167,0x0011,B5753A6E8105F41AE479B866713F1B57,
2025-08-08 13:48:36,183.233.85.99,29227,147.159.181.46,443,RDP,232,0x0010,9EC1A6E1029821F905CE842C561710B1,
2025-08-07 22:56:22,171.29.31.238,16324,17.59.109.131,443,HTTPS,987,0x0018,2F4F3023BB030CC67410362FC3497EC5,http://williams.com/app/posts
2025-08-08 04:50:34,18.1.33.111,16388,147.159.181.46,80,HTTPS,1105,0x0011,C42E1109EE183B18A2D913D0D4F6EB5B,http://freeman.com/blog/blog/list
2025-08-08 07:05:53,62.178.99.228,45562,18.1.33.111,80,HTTP,230,0x0018,EDDCB1D94BE09D6028EB81D0224BDEE4,http://sims-ray.info/tags/app/search
2025-08-08 05:58:14,147.159.181.46,26334,115.216.142.177,8080,TCP,1338,0x0018,5147845F7A0091C23A4031693B428E46,
2025-08-08 00:10:05,115.216.142.177,47054,183.233.85.99,8080,HTTPS,1243,0x0011,ECE74314C184A5DFD9581F3EBEB9F4E6,http://rios-mendoza.com/posts
2025-08-08 00:19:05,178.101.237.200,24279,171.29.31.238,8080,TCP,828,0x0011,1B0487D6CF2A3488FC5A5642FFDE994D,
2025-08-08 17:29:02,178.101.237.200,41980,17.59.109.131,443,HTTP,337,0x0011,5D97758691498117CC21AACCBF7F6E68,http://adkins.com/wp-content/list
2025-08-08 03:11:31,115.216.142.177,22461,18.1.33.111,8080,TCP,88,0x0010,4919FF0905EFCF0A510BF315CFA96004,
